Distance Function,k,wa precision,wa recall,wa f1-score,wa support,accuracy score
subgraph_isomorphism_distance,k=1,0.9285714285714286,0.8666666666666667,0.8444444444444444,15.0,0.8666666666666667
subgraph_isomorphism_distance,k=3,0.861111111111111,0.8,0.7288888888888889,15.0,0.8
subgraph_isomorphism_distance,k=7,0.8484848484848484,0.7333333333333333,0.6622222222222223,15.0,0.7333333333333333
subgraph_isomorphism_distance,k=15,0.7878787878787878,0.7333333333333333,0.6355555555555555,15.0,0.7333333333333333
subgraph_isomorphism_distance fractional,k=1,0.9285714285714286,0.8666666666666667,0.8444444444444444,15.0,0.8666666666666667
subgraph_isomorphism_distance fractional,k=3,0.861111111111111,0.8,0.7288888888888889,15.0,0.8
subgraph_isomorphism_distance fractional,k=7,0.8484848484848484,0.7333333333333333,0.6622222222222223,15.0,0.7333333333333333
subgraph_isomorphism_distance fractional,k=15,0.7878787878787878,0.7333333333333333,0.6355555555555555,15.0,0.7333333333333333
graph_convex_isomorphism,k=1,0.9285714285714286,0.8666666666666667,0.8444444444444444,15.0,0.8666666666666667
graph_convex_isomorphism,k=3,0.875,0.8,0.7333333333333333,15.0,0.8
graph_convex_isomorphism,k=7,1.0,1.0,1.0,15.0,1.0
graph_convex_isomorphism,k=15,1.0,1.0,1.0,15.0,1.0
wasserstein_spectral_distance,k=1,0.6805555555555557,0.5333333333333333,0.52,15.0,0.5333333333333333
wasserstein_spectral_distance,k=3,0.7291666666666666,0.5333333333333333,0.5155555555555555,15.0,0.5333333333333333
wasserstein_spectral_distance,k=7,0.861111111111111,0.6,0.6177777777777779,15.0,0.6
wasserstein_spectral_distance,k=15,0.325,0.26666666666666666,0.23809523809523808,15.0,0.26666666666666666
